"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"56","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"57","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,2
"58","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-02,2019-02-11,11
"59","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-02,2019-02-11,2
"60","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"61","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,2
"62","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"63","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-02,2019-02-11,5
"64","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-02,2019-02-11,1
"65","MATH","3200","Elementary Diff Equations","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"66","MATH","3382","Statistical Theory","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"67","MATH","3440","Intro to Symbolic Logic","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"68","MATH","3800","Probablty-Statistcs Engineers","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"69","MATH","4010","History of Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"70","MATH","4027","Topics in Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"71","MATH","4110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"72","MATH","4310","Intro to Real Analysis I","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"73","MATH","4320","Intro Real Analysis II","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"74","MATH","4387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"75","MATH","4390","Game Theory","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"76","MATH","4408","Applied Graph Theory","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"77","MATH","4450","Complex Variables","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"78","MATH","4650","Numerical Analysis I","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"79","MATH","4660","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"80","MATH","4733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"81","MATH","4779","Math Clinic","Spring 2019",2019-01-22,2018-11-02,2019-02-11,1
"82","MATH","4810","Probability","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"83","MATH","4830","Applied Statistics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"84","MATH","5010","History of Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"85","MATH","5027","Topics in Applied Mathematics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"86","MATH","5070","Applied Analysis","Spring 2019",2019-01-22,2018-11-02,2019-02-11,1
"87","MATH","5110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"88","MATH","5320","Intro Mathematical Statistics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"89","MATH","5387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"90","MATH","5390","Game Theory","Spring 2019",2019-01-22,2018-11-02,2019-02-11,1
"91","MATH","5490","Network Flows","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"92","MATH","5661","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"93","MATH","5718","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"94","MATH","5733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"95","MATH","5779","Math Clinic","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"96","MATH","5830","Applied Statistics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"97","MATH","6330","Statistical Consulting","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"98","MATH","6595","Comput Meth Non-Linear Prog","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"99","MATH","7132","Functional Analysis","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"100","MATH","7393","Bayesian Statistics","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"101","MATH","7405","Advanced Graph Theory","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"102","MATH","7594","Integer Programming","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"103","MATH","7823","Topics in Discrete Math","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"104","MATH","8660","Math Finite Element Mthds","Spring 2019",2019-01-22,2018-11-02,2019-02-11,0
"105","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"106","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"107","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"108","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"109","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,4
"110","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-03,2019-02-11,11
"111","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-03,2019-02-11,2
"112","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"113","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,2
"114","MATH","3000","Intro to Abstract Math","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"115","MATH","3191","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-03,2019-02-11,5
"116","MATH","3195","Linear Algebra Diff Equations","Spring 2019",2019-01-22,2018-11-03,2019-02-11,1
"117","MATH","3200","Elementary Diff Equations","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"118","MATH","3382","Statistical Theory","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"119","MATH","3440","Intro to Symbolic Logic","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"120","MATH","3800","Probablty-Statistcs Engineers","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"121","MATH","4010","History of Mathematics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
"122","MATH","4027","Topics in Mathematics","Spring 2019",2019-01-22,2018-11-03,2019-02-11,0
